,ticker,industry,market_cap,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-05-04,2022-05-05,2022-05-06,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-27,2022-06-28,2022-06-29,2022-06-30
0,AAA,Vật liệu,3737.67,0.0,1.21,8.21,10.14,2.66,-3.38,-5.31,-11.84,-11.35,-17.39,-14.98,-15.94,-12.8,-14.25,-20.05,-17.87,-20.05,-19.81,-20.29,-16.18,-15.94,-14.25,-14.01,-13.53,-16.18,-15.94,-13.04,-12.8,-12.56,-9.9,-12.8,-12.32,-15.22,-14.01,-14.73,-13.04,-14.73,-10.63,-11.11,-12.8,-14.49,-15.22,-14.49,-14.01,-16.91,-16.18,-14.49,-14.73,-14.98,-14.01,-14.01,-12.56,-6.52,-7.73,-8.21,-6.28,-10.14,-9.66,-7.73,-9.42,-9.66,-11.35,-15.46,-15.46,-19.57,-16.43,-16.91,-18.36,-23.43,-28.74,-30.92,-33.82,-33.33,-37.92,-35.75,-34.78,-34.54,-32.13,-33.33,-35.27,-37.92,-42.03,-41.06,-40.1,-44.2,-48.07,-47.83,-44.2,-43.0,-43.0,-41.55,-42.51,-42.03,-39.13,-38.41,-38.89,-38.41,-39.13,-39.61,-39.86,-39.86,-40.82,-41.79,-39.86,-35.75,-38.16,-42.03,-41.06,-42.75,-43.0,-46.86,-50.24,-46.86,-45.17,-43.48,-43.0,-42.51,-42.03,-42.75,-45.41
1,ACB,Tài chính,81227.31,0.0,-2.03,-1.89,-3.2,-4.07,-4.8,-3.78,-3.05,-3.92,-4.8,-4.65,-4.07,-4.36,-2.76,-0.15,1.31,3.05,1.45,0.44,0.87,3.92,3.49,3.34,3.78,-1.16,0.29,-0.58,-0.29,-1.6,0.0,0.87,0.58,0.15,-0.15,-1.45,-1.6,-4.36,-2.76,-0.29,-3.34,-5.23,-4.94,-4.36,-4.94,-4.94,-4.65,-4.65,-4.65,-4.65,-4.22,-3.2,-3.49,-4.36,-4.94,-5.96,-5.96,-5.23,-3.92,-2.91,-2.62,-4.07,-3.49,-2.33,-1.6,-2.76,-2.18,-1.74,-2.47,-4.65,-7.99,-7.27,-8.43,-6.1,-11.34,-10.17,-10.17,-9.88,-4.94,-7.7,-7.85,-9.88,-11.05,-10.47,-8.14,-14.24,-20.06,-19.77,-14.97,-15.84,-16.86,-15.55,-17.3,-16.28,-12.79,-11.77,-7.56,-7.12,-8.28,-9.59,-26.31,-26.45,-26.45,-27.47,-25.29,-25.15,-26.74,-30.52,-29.94,-31.4,-29.94,-32.85,-33.43,-33.14,-30.96,-30.96,-30.81,-30.38,-28.78,-29.65,-30.23
2,ANV,Nông nghiệp,6817.54,0.0,5.13,3.81,3.52,-1.91,-6.16,-8.65,-10.85,-11.14,-16.72,-17.6,-14.96,-11.88,-12.46,-18.48,-16.72,-19.35,-18.77,-20.23,-16.42,-10.7,-10.26,-10.7,-10.26,-4.11,-3.23,-0.59,0.59,1.76,1.17,1.17,5.28,2.64,3.37,6.74,9.68,15.25,15.25,15.1,15.1,10.41,13.34,21.26,21.7,21.7,21.7,21.7,17.74,16.72,18.91,18.77,21.7,24.63,26.1,31.38,28.45,29.91,28.3,24.34,25.22,26.69,26.1,18.18,16.72,17.89,19.35,20.23,28.59,37.54,33.72,42.96,39.3,29.62,20.67,14.66,22.58,26.1,34.9,39.0,33.43,42.67,32.7,41.94,40.76,30.94,21.85,13.34,21.26,23.17,23.17,19.79,24.34,29.03,37.98,39.3,48.97,54.55,54.84,65.4,67.16,78.3,65.98,73.61,67.16,72.14,60.12,49.85,60.12,71.26,82.99,86.8,80.94,68.33,56.6,67.45,67.16,68.62,56.89,64.22,55.43
3,APH,Vật liệu,2975.39,0.0,-1.33,-1.06,-1.73,-4.52,-8.37,-7.84,-9.83,-9.83,-12.22,-13.68,-16.07,-16.33,-15.01,-17.93,-17.8,-16.07,-17.66,-17.13,-14.21,-12.08,-8.9,-22.05,-21.65,-25.1,-24.17,-24.04,-23.51,-24.04,-24.04,-25.23,-25.37,-28.82,-28.55,-30.28,-28.29,-28.82,-28.02,-28.95,-30.01,-30.28,-31.08,-31.74,-32.93,-34.13,-33.86,-29.35,-29.08,-31.47,-30.68,-30.15,-28.55,-23.64,-20.05,-22.18,-18.99,-24.04,-26.16,-22.97,-23.77,-25.23,-26.43,-30.28,-29.22,-32.01,-30.54,-31.61,-33.86,-38.38,-42.63,-46.61,-50.33,-48.87,-52.32,-51.39,-50.73,-51.13,-49.67,-50.46,-51.66,-54.98,-58.03,-57.5,-57.1,-60.03,-62.82,-65.34,-62.95,-61.75,-62.28,-61.75,-61.75,-61.75,-59.1,-56.31,-56.31,-56.57,-57.77,-56.97,-58.17,-58.96,-61.49,-60.82,-59.63,-58.17,-60.16,-62.95,-64.54,-66.93,-66.93,-69.06,-71.18,-71.58,-69.72,-69.06,-67.6,-66.93,-66.0,-66.0,-68.13
4,AST,Công nghiệp - Hàng không,2605.5,0.0,0.56,0.56,-0.38,0.19,-0.94,-1.32,-0.75,-3.2,-1.88,-1.88,-1.88,-2.26,-2.63,-3.57,-3.01,-2.07,-0.56,-0.56,6.39,9.77,8.27,7.52,6.77,9.02,9.77,10.15,12.78,18.23,20.49,20.3,18.23,14.1,17.48,14.66,13.72,11.28,11.84,12.78,11.65,10.53,12.78,15.6,15.79,16.17,16.17,14.29,14.29,12.41,12.41,12.78,12.78,12.97,12.78,12.22,12.78,12.22,13.16,13.72,19.55,21.24,22.93,20.3,22.56,24.06,26.88,23.87,21.8,27.82,24.06,21.24,17.48,15.98,10.9,15.98,15.04,14.66,17.29,16.73,16.54,15.23,7.33,8.08,8.27,2.44,-4.7,-0.38,5.26,3.38,3.57,0.56,3.38,3.38,3.38,4.32,4.51,3.38,4.7,3.95,3.57,4.14,4.14,4.7,4.51,9.02,9.02,4.7,6.2,6.95,7.52,8.83,8.46,5.26,5.26,6.58,5.45,9.96,10.34,9.59,8.83
5,BAF,Nông nghiệp,5008.85,0.0,6.94,14.22,22.18,23.55,21.27,29.69,38.57,36.75,35.38,36.52,37.88,34.93,32.65,23.55,25.14,23.78,22.64,22.41,25.14,26.28,24.0,26.05,25.14,24.69,23.09,29.24,34.02,31.97,29.69,25.14,28.56,28.1,31.74,29.69,29.01,30.83,39.93,42.66,41.52,34.7,34.47,34.93,40.61,42.21,45.39,42.21,46.3,44.94,41.98,40.61,41.3,42.43,43.12,41.07,40.61,36.52,41.07,42.21,42.21,41.98,40.16,37.66,36.06,36.06,41.75,39.48,38.57,38.57,37.43,29.69,31.06,29.69,20.82,21.05,29.47,32.42,32.2,31.74,27.65,25.6,-32.08,-27.42,-24.69,-26.28,-27.19,-24.46,-20.59,-21.73,-21.96,-21.27,-21.27,-15.81,-12.86,-13.77,-14.33,-14.11,-19.68,-17.41,-21.27,-23.78,-27.3,-23.89,-22.64,-24.91,-26.96,-31.85,-31.74,-29.69,-29.69,-30.38,-31.63,-31.74,-30.38,-30.94,-30.38,-25.6,-23.09,-23.32,-24.46
6,BCM,Bất động sản - Xây dựng,65412.0,0.0,0.3,7.29,14.74,6.84,14.29,21.43,18.39,15.5,7.45,3.34,7.9,14.59,14.44,9.42,17.02,17.33,17.63,20.36,21.12,23.1,22.8,22.8,20.21,19.91,24.62,24.32,28.42,27.2,25.23,24.16,26.44,25.99,24.77,20.06,16.87,19.3,21.58,19.91,16.41,13.68,8.66,11.55,10.03,7.45,10.18,12.46,12.46,15.5,16.87,15.2,15.05,13.37,12.31,10.18,9.42,9.42,11.55,10.18,12.16,12.92,13.22,10.33,12.46,12.46,15.2,16.72,20.06,21.28,21.43,16.26,10.94,14.74,16.26,19.0,18.84,26.14,30.55,27.66,30.7,22.34,13.83,21.73,28.72,19.76,11.4,3.65,6.38,13.83,15.2,15.5,8.05,12.46,13.37,13.07,11.7,10.94,11.09,11.4,9.57,8.66,5.32,8.51,9.42,9.42,7.9,3.34,3.34,1.98,4.86,2.89,-1.06,-3.34,-5.78,-3.8,-5.32,-5.62,-4.26,-1.98,1.82
7,BHN,Hàng tiêu dùng,12076.78,0.0,0.82,0.0,0.82,-0.82,-0.82,-1.15,-1.15,-1.15,-2.13,-8.2,-1.97,-6.23,-2.79,-3.44,-3.28,-6.07,-1.8,-1.64,0.0,2.95,2.79,0.98,-1.64,-0.33,0.16,0.0,0.0,-1.64,-1.64,-2.46,-1.97,-3.28,-3.11,-1.97,-3.28,-2.46,-2.46,-2.46,-2.46,-3.28,-4.92,-3.61,-5.08,-5.74,-4.26,-4.75,-3.28,-3.28,-3.61,-4.1,-2.46,-3.28,-2.62,-2.46,-2.46,-2.79,-3.28,-2.79,-2.62,-2.62,-2.62,-3.93,-4.75,-4.43,-4.26,-4.75,-4.43,-4.1,-4.92,-4.59,-7.05,-6.39,-3.61,-8.36,-4.92,-4.92,-4.92,-6.07,-5.74,-4.75,-8.03,-9.02,-8.03,-7.87,-7.05,-10.0,-9.02,-10.49,-10.49,-11.48,-9.02,-10.0,-9.51,-9.02,-10.66,-10.66,-10.98,-9.34,-10.98,-9.51,-9.84,-9.84,-11.48,-11.48,-9.84,-11.31,-9.84,-9.84,-10.0,-12.62,-13.11,-10.49,-11.31,-11.31,-11.31,-12.13,-12.79,-12.79,-13.61
8,BID,Tài chính,177301.26,0.0,-0.94,1.6,4.81,3.88,5.35,12.7,17.65,18.32,16.71,20.05,16.98,18.72,26.6,25.4,31.02,28.61,27.27,28.21,26.74,26.6,29.41,29.41,28.07,19.65,23.53,20.72,22.99,19.52,20.99,22.99,21.93,19.25,19.12,16.84,17.91,13.5,14.44,15.78,12.97,11.23,8.29,9.49,11.9,10.43,12.57,11.23,16.31,17.38,17.11,16.31,16.04,15.24,16.18,11.23,13.37,16.44,16.31,18.58,18.32,15.78,16.31,15.11,12.03,8.16,9.36,8.29,5.08,1.47,1.47,1.47,2.94,2.94,-4.14,-1.34,-0.53,-1.87,-0.4,-0.4,2.14,-1.07,-7.89,-4.28,-3.48,-10.16,-14.97,-13.9,-7.89,-6.68,-7.35,-7.75,-10.83,-9.76,-6.68,-6.15,-5.61,-4.41,-5.61,-6.02,-7.22,-8.16,-8.56,-10.16,-8.29,-7.75,-9.63,-14.57,-13.64,-14.44,-13.64,-15.51,-21.12,-18.98,-18.45,-17.11,-16.58,-15.11,-10.03,-6.68,-10.43
9,BVH,Tài chính,39417.34,0.0,-0.53,-1.23,-2.28,-3.87,-5.45,-5.1,-5.1,-4.75,-7.38,-9.31,-9.14,-8.08,-7.73,-10.19,-9.31,-6.85,-5.45,-4.39,-2.46,-2.64,-1.76,-2.64,-3.16,-4.75,-3.69,0.88,0.0,0.7,0.53,-1.05,1.23,3.69,3.69,3.87,5.1,3.69,3.69,4.92,3.51,2.64,-0.88,0.88,0.18,-3.16,-3.16,-1.23,-1.23,-1.41,2.81,2.81,3.69,3.34,2.81,2.81,7.91,8.44,8.08,11.42,11.78,12.13,14.59,13.18,11.6,5.45,11.25,9.84,17.4,17.4,15.47,12.48,16.87,10.72,2.99,8.79,8.08,5.45,9.14,10.72,12.48,12.13,4.39,5.45,2.81,-4.22,-10.9,-15.82,-10.02,-10.9,-11.95,-11.78,-10.72,-10.54,-7.21,-5.98,-5.8,-5.98,-7.56,-7.03,-4.92,-4.75,-4.92,-1.41,-2.64,-3.34,-5.45,-11.95,-9.67,-9.67,-7.91,-9.49,-11.42,-9.49,-10.19,-7.38,-3.69,-3.16,-1.05,-3.34,-7.73
